id,carat,cut,color,clarity,depth,table,x,y,z,price
9851,1.03,Premium,H,SI2,62.3,59.0,6.42,6.46,4.01,4078
9852,0.36,Ideal,D,VS2,60.6,57.0,4.57,4.61,2.78,852
9853,0.51,Very Good,F,VVS2,62.7,56.0,5.11,5.13,3.21,2051
9854,0.31,Ideal,E,VS1,61.9,54.4,4.33,4.37,2.69,685
9855,1.0,Good,H,VS1,60.2,63.0,6.43,6.47,3.88,5668
9856,0.5,Ideal,H,SI1,62.0,56.0,5.09,5.12,3.16,1178
9857,1.18,Premium,G,VVS2,58.2,62.0,6.92,6.89,4.02,9188
9858,1.69,Ideal,D,SI1,60.8,57.0,7.69,7.71,4.68,15011
9859,0.95,Very Good,G,VS1,59.9,58.0,6.37,6.41,3.83,5572
9860,1.01,Good,I,VS2,62.5,59.0,6.3,6.37,3.96,4239
9861,0.9,Good,E,SI2,63.7,63.0,6.05,6.1,3.87,3595
9862,0.27,Very Good,G,VVS2,62.4,56.0,4.13,4.16,2.58,504
9863,2.01,Premium,J,VS2,58.6,61.0,8.18,8.14,4.78,10401
9864,1.51,Fair,E,SI1,58.4,70.0,7.55,7.39,4.36,11102
9865,1.2,Good,G,VS1,62.8,59.0,6.64,6.7,4.19,8442
9866,0.55,Very Good,J,VS2,61.7,54.0,5.29,5.34,3.28,1172
9867,0.55,Premium,G,VS2,62.3,56.0,5.29,5.24,3.28,1668
9868,0.28,Ideal,F,IF,62.6,53.0,4.18,4.19,2.62,787
9869,0.25,Very Good,F,VVS2,63.2,57.0,3.99,4.01,2.53,575
9870,0.35,Premium,H,SI1,60.0,61.0,4.6,4.57,2.75,630
9871,0.5,Very Good,E,VS2,62.9,56.0,5.06,5.11,3.2,1584
9872,0.31,Premium,H,VVS1,61.8,58.0,4.34,4.3,2.67,907
9873,1.22,Premium,H,SI1,62.4,58.0,6.82,6.77,4.24,5997
9874,1.18,Ideal,I,VVS2,62.7,55.0,6.7,6.79,4.23,6678
9875,0.75,Premium,H,SI1,60.2,59.0,5.92,5.88,3.55,2329
9876,0.78,Premium,E,VS1,62.5,57.0,5.94,5.9,3.7,3444
9877,1.0,Ideal,H,SI1,61.9,57.0,6.43,6.39,3.97,4872
9878,1.51,Very Good,G,VS1,63.1,60.0,7.3,7.24,4.59,13811
9879,2.12,Very Good,H,SI1,60.7,55.0,8.28,8.36,5.05,18118
9880,0.3,Premium,E,VVS2,61.5,60.0,4.31,4.28,2.64,1013
9881,0.78,Very Good,E,SI1,63.4,56.0,5.84,5.9,3.72,2565
9882,1.05,Ideal,H,SI2,61.9,56.0,6.49,6.56,4.04,4504
9883,0.34,Ideal,E,VS2,61.8,54.0,4.49,4.5,2.78,760
9884,0.9,Ideal,J,SI1,62.7,56.0,6.21,6.16,3.88,3445
9885,0.45,Premium,D,VS1,60.6,59.0,4.98,4.96,3.01,1358
9886,0.33,Very Good,E,VS1,58.3,62.0,4.49,4.57,2.64,886
9887,0.43,Very Good,D,SI1,63.4,55.0,4.84,4.78,3.05,993
9888,0.24,Very Good,H,VVS1,61.3,56.0,4.01,4.04,2.46,449
9889,0.32,Ideal,E,VS2,62.0,57.0,4.39,4.41,2.73,702
9890,1.08,Ideal,G,VS1,61.8,58.0,6.56,6.58,4.06,7635
9891,0.93,Premium,F,SI1,62.5,58.0,6.22,6.19,3.88,4010
9892,0.5,Ideal,G,VVS2,61.4,56.0,5.13,5.17,3.16,1867
9893,0.24,Very Good,F,VVS1,57.2,63.0,4.1,4.15,2.36,478
9894,0.31,Ideal,F,IF,62.2,56.0,4.31,4.34,2.69,979
9895,1.01,Good,F,SI2,56.9,60.0,6.68,6.64,3.79,4077
9896,0.3,Very Good,D,VVS2,59.6,61.0,4.39,4.34,2.6,880
9897,0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49,2777
9898,1.25,Premium,J,SI1,62.0,61.0,6.86,6.84,4.25,4200
9899,0.47,Good,H,VS1,65.1,59.0,4.81,4.87,3.15,1031
9900,1.01,Good,D,VS1,61.1,56.0,6.36,6.43,3.91,6612
9901,0.32,Ideal,F,VS1,61.9,56.0,4.39,4.43,2.73,716
9902,0.51,Very Good,E,SI1,62.9,55.0,5.06,5.12,3.2,1284
9903,1.52,Premium,I,VS1,61.1,58.0,7.44,7.38,4.53,9557
9904,2.26,Very Good,H,SI2,63.3,59.0,8.35,8.26,5.25,13923
9905,1.01,Very Good,F,VS2,58.5,60.0,6.52,6.54,3.82,6037
9906,0.31,Premium,J,SI1,61.9,59.0,4.32,4.28,2.66,465
9907,0.32,Premium,I,VVS2,62.1,59.0,4.35,4.38,2.71,561
9908,1.56,Premium,I,SI1,61.7,59.0,7.44,7.38,4.57,7155
9909,1.0,Fair,F,SI1,68.7,55.0,6.06,5.88,4.11,3387
9910,1.05,Premium,J,VS2,61.1,58.0,6.56,6.51,3.99,4145
9911,0.42,Ideal,D,VS2,61.4,56.0,4.84,4.8,2.96,1103
9912,2.04,Premium,H,SI1,60.6,61.0,8.15,8.09,4.92,12454
9913,0.42,Ideal,E,VVS1,62.0,55.0,4.81,4.83,2.99,1327
9914,0.31,Premium,F,VS2,59.3,60.0,4.41,4.39,2.61,802
9915,0.63,Premium,E,VS1,60.5,57.0,5.58,5.53,3.36,3675
9916,0.54,Ideal,I,VS1,63.1,55.0,5.18,5.22,3.27,1453
9917,0.31,Ideal,F,IF,61.1,57.0,4.37,4.4,2.68,914
9918,1.7,Fair,G,VS2,64.5,58.0,7.51,7.43,4.82,14860
9919,1.23,Very Good,F,VS1,62.0,59.0,6.84,6.87,4.25,10035
9920,0.7,Very Good,E,SI1,61.9,60.0,5.6,5.67,3.49,2496
9921,0.5,Very Good,F,VVS2,61.2,57.0,5.1,5.13,3.13,1891
9922,0.7,Good,I,VS1,63.2,55.0,5.58,5.63,3.54,2274
9923,0.54,Ideal,I,SI1,61.9,54.0,5.25,5.28,3.26,1057
9924,1.51,Premium,H,VS2,62.3,59.0,7.32,7.28,4.55,11540
9925,0.7,Premium,E,SI1,61.2,62.0,6.65,5.73,3.48,2396
9926,0.92,Good,I,SI1,63.3,58.0,6.14,6.18,3.9,3382
9927,0.52,Fair,J,VS2,65.3,56.0,5.05,5.0,3.28,1030
9928,0.5,Ideal,G,VVS2,61.4,56.0,5.11,5.15,3.15,1787
9929,0.51,Ideal,E,VS2,61.8,56.0,5.14,5.12,3.17,1781
9930,0.5,Ideal,D,SI1,60.8,56.0,5.14,5.12,3.12,1654
9931,0.52,Very Good,E,VS2,61.5,58.0,5.18,5.24,3.2,1625
9932,0.3,Ideal,E,VS2,61.8,56.0,4.29,4.32,2.66,658
9933,0.33,Premium,H,VS2,61.4,58.0,4.49,4.44,2.74,668
9934,1.21,Premium,F,VVS1,63.0,59.0,6.75,6.7,4.24,11175
9935,0.33,Ideal,F,VS2,60.9,56.0,4.47,4.49,2.73,619
9936,2.18,Very Good,I,SI2,63.3,58.0,8.22,8.18,5.19,12220
9937,0.35,Ideal,F,SI1,61.5,54.0,4.54,4.6,2.81,552
9938,0.34,Ideal,E,VS2,61.8,57.0,4.48,4.52,2.78,696
9939,1.21,Ideal,E,VS2,61.8,53.0,6.86,6.9,4.25,10556
9940,0.9,Very Good,G,VS2,61.9,56.0,6.17,6.23,3.84,4269
9941,0.58,Ideal,F,SI1,62.2,57.0,5.37,5.33,3.33,1705
9942,1.0,Good,D,SI1,64.2,60.0,6.22,6.28,4.01,5093
9943,2.01,Good,H,SI2,62.2,57.0,8.05,8.1,5.03,14956
9944,0.35,Ideal,E,VS2,62.1,56.0,4.53,4.52,2.81,984
9945,1.09,Ideal,F,SI1,62.0,56.0,6.61,6.59,4.09,5922
9946,1.11,Ideal,H,SI2,60.9,56.0,6.71,6.73,4.09,4600
9947,0.32,Premium,H,VS2,62.7,58.0,4.33,4.35,2.72,471
9948,2.11,Ideal,J,VS2,61.2,55.0,8.33,8.3,5.09,14638
9949,0.72,Very Good,I,VS1,64.0,56.0,5.65,5.73,3.65,2048
9950,0.48,Very Good,E,VVS1,60.6,56.0,5.13,5.06,3.09,2275
9951,2.01,Very Good,G,SI1,59.1,57.0,8.16,8.23,4.84,18077
9952,0.99,Very Good,D,SI1,62.6,57.0,6.34,6.37,3.98,5671
9953,0.36,Premium,G,SI2,60.8,58.0,4.61,4.57,2.79,608
9954,0.35,Good,D,SI1,57.7,60.0,4.69,4.64,2.69,739
9955,0.31,Good,G,VS2,63.6,56.0,4.26,4.29,2.72,544
9956,0.41,Ideal,G,VVS2,61.7,55.0,4.81,4.85,2.98,1199
9957,1.0,Ideal,D,SI2,61.5,56.0,6.45,6.41,3.95,4956
9958,0.43,Premium,F,SI1,62.4,56.0,4.84,4.81,3.01,1016
9959,0.51,Ideal,H,IF,62.3,54.0,5.14,5.17,3.21,1879
9960,1.14,Premium,H,SI1,59.3,59.0,6.8,6.76,4.02,5458
9961,0.41,Premium,G,SI1,62.5,58.0,4.75,4.78,2.98,719
9962,0.3,Very Good,D,VS1,62.2,58.0,4.25,4.27,2.65,742
9963,2.0,Very Good,E,SI2,59.5,58.0,8.17,8.27,4.89,16462
9964,0.3,Good,G,VS2,63.5,58.0,4.24,4.29,2.71,456
9965,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.28,2.66,450
9966,0.5,Premium,I,VVS1,58.2,62.0,5.25,5.19,3.04,1415
9967,1.0,Premium,H,VS1,59.1,60.0,6.45,6.42,3.8,4732
9968,0.3,Ideal,J,VS2,62.1,56.0,4.29,4.34,2.68,384
9969,0.52,Premium,E,SI1,60.3,58.0,5.2,5.24,3.15,1369
9970,0.74,Ideal,F,SI2,60.3,58.0,5.84,5.82,3.51,2295
9971,0.7,Premium,F,VVS1,61.9,60.0,5.68,5.63,3.5,3587
9972,0.26,Ideal,G,VS1,62.5,53.0,4.1,4.13,2.57,508
9973,0.41,Very Good,E,SI2,63.2,58.0,4.72,4.68,2.97,818
9974,2.2,Premium,H,SI2,61.5,58.0,8.44,8.38,5.18,12747
9975,0.52,Ideal,G,VVS1,62.0,55.0,5.15,5.18,3.2,2029
9976,1.79,Premium,J,VS2,62.5,60.0,7.76,7.69,4.83,10581
9977,0.32,Very Good,G,VS1,61.2,62.0,4.41,4.45,2.71,602
9978,1.01,Very Good,E,SI1,64.1,56.0,6.29,6.35,4.05,5479
9979,1.01,Premium,D,SI2,61.7,59.0,6.41,6.37,3.94,4072
9980,0.26,Very Good,E,VVS2,61.7,60.0,4.11,4.12,2.54,599
9981,0.57,Ideal,E,VS2,61.5,57.0,5.35,5.32,3.28,2491
9982,1.0,Premium,G,VVS2,62.8,57.0,6.38,6.29,3.98,6209
9983,0.9,Very Good,H,VS2,61.8,56.0,6.18,6.25,3.84,4155
9984,0.33,Ideal,G,VS2,62.0,57.0,4.47,4.44,2.76,743
9985,0.55,Ideal,D,SI1,60.6,56.0,5.32,5.27,3.21,1819
9986,0.42,Ideal,G,VS2,61.7,57.0,4.8,4.83,2.97,847
9987,0.4,Premium,E,VS1,61.2,59.0,4.76,4.72,2.9,1125
9988,0.31,Ideal,E,IF,60.4,56.0,4.43,4.38,2.66,1188
9989,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,4028
9990,0.33,Ideal,G,VS1,62.4,56.0,4.45,4.43,2.77,854
9991,0.5,Premium,D,VS2,61.2,60.0,5.12,5.08,3.12,1845
9992,0.31,Ideal,D,VS2,61.6,57.0,4.36,4.38,2.69,734
9993,0.82,Very Good,E,VS2,62.6,60.0,5.91,5.97,3.72,3641
9994,0.91,Premium,E,SI1,62.1,58.0,6.18,6.15,3.83,4256
9995,0.36,Very Good,H,VS2,63.5,54.0,4.59,4.55,2.9,729
9996,1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
9997,0.31,Ideal,H,IF,62.1,54.0,4.37,4.33,2.7,1046
9998,0.95,Premium,I,VS2,62.9,57.0,6.24,6.19,3.91,3818
9999,0.42,Ideal,G,VS2,61.6,56.0,4.83,4.82,2.97,1087
10000,0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,2833
10001,1.51,Premium,G,SI1,62.2,58.0,7.26,7.3,4.53,10497
10002,0.79,Very Good,D,VS1,58.8,60.0,6.03,6.08,3.56,3798
10003,0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,698
10004,1.5,Very Good,D,SI2,63.3,57.0,7.27,7.2,4.58,8518
10005,1.2,Premium,F,SI1,61.0,62.0,6.96,6.81,4.2,6774
10006,0.73,Ideal,G,SI1,60.9,57.0,5.81,5.85,3.55,3089
10007,1.58,Premium,I,I1,60.2,61.0,7.55,7.51,4.53,4459
10008,1.27,Ideal,D,SI1,62.1,55.0,6.92,6.96,4.31,8256
10009,1.01,Very Good,E,VVS1,63.6,55.0,6.35,6.39,4.05,10993
10010,1.01,Premium,G,VS2,62.4,58.0,6.41,6.38,3.99,6108
10011,1.05,Fair,F,SI2,66.0,60.0,6.3,6.22,4.13,3615
10012,0.53,Good,F,VS1,64.2,56.0,5.11,5.14,3.29,1688
10013,1.06,Ideal,I,VVS2,62.2,55.0,6.51,6.55,4.06,6069
10014,0.9,Very Good,D,SI2,62.9,56.0,6.09,6.19,3.86,4078
10015,0.42,Ideal,I,IF,62.0,54.0,4.82,4.85,3.0,961
10016,1.02,Good,E,VS2,63.2,60.0,6.29,6.34,3.99,6462
10017,0.28,Good,E,IF,64.6,58.0,4.09,4.12,2.65,612
10018,0.39,Premium,G,VS2,59.8,61.0,4.75,4.72,2.83,942
10019,0.72,Ideal,H,SI2,61.3,56.0,5.77,5.75,3.53,2393
10020,0.7,Ideal,D,SI2,60.6,57.0,5.74,5.77,3.49,2828
10021,1.0,Good,I,VS1,63.8,56.0,6.35,6.32,4.04,4202
10022,0.71,Premium,D,SI1,59.7,59.0,5.82,5.8,3.47,2863
10023,2.0,Very Good,G,SI2,63.5,55.0,8.03,7.93,5.07,15485
10024,1.01,Premium,E,VS1,62.0,59.0,6.42,6.38,3.97,7964
10025,1.36,Premium,J,VS2,58.4,59.0,7.4,7.27,4.28,6157
10026,0.73,Very Good,D,SI1,62.2,57.0,5.74,5.78,3.58,2197
10027,0.41,Ideal,H,VVS1,61.4,56.0,4.77,4.8,2.94,1043
10028,0.36,Good,H,SI1,63.6,57.0,4.53,4.49,2.87,665
10029,2.01,Premium,E,SI1,60.4,61.0,8.05,7.98,4.84,12898
10030,0.51,Very Good,G,VVS1,60.1,56.0,5.16,5.35,3.16,2005
10031,0.32,Premium,E,SI2,61.7,60.0,4.41,4.38,2.71,576
10032,0.7,Premium,G,I1,61.6,56.0,5.8,5.63,3.52,1138
10033,0.51,Very Good,F,SI1,63.4,58.0,5.06,5.1,3.22,1244
10034,1.51,Good,I,VS2,62.9,57.0,7.23,7.27,4.56,8720
10035,1.14,Premium,H,SI1,62.1,59.0,6.73,6.61,4.14,4463
10036,1.0,Premium,H,VS2,61.9,61.0,6.37,6.23,3.9,4536
10037,0.34,Ideal,G,VS2,61.5,56.0,4.47,4.5,2.76,596
10038,0.3,Ideal,F,SI1,62.5,57.0,4.3,4.31,2.69,475
10039,0.9,Good,H,VS1,64.0,59.0,6.01,6.05,3.86,3734
10040,1.47,Premium,H,SI2,59.3,59.0,7.39,7.34,4.37,7573
10041,1.7,Premium,G,VS2,62.6,61.0,7.64,7.54,4.75,15568
10042,0.4,Premium,G,VVS2,61.3,59.0,4.78,4.74,2.92,980
10043,0.9,Good,F,SI1,63.1,58.0,6.12,6.18,3.88,3950
10044,1.01,Ideal,F,VVS2,61.6,56.0,6.43,6.49,3.98,8971
10045,1.01,Ideal,H,SI1,62.9,55.0,6.35,6.4,4.01,4773
10046,1.35,Premium,J,VS2,61.2,61.0,7.13,7.08,4.35,4974
10047,0.31,Ideal,F,IF,62.1,55.0,4.34,4.35,2.7,979
10048,0.9,Good,F,SI2,63.9,55.0,6.15,6.12,3.92,3453
10049,0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,3009
10050,0.31,Ideal,D,VS2,61.2,55.0,4.36,4.46,2.7,734
10051,0.63,Premium,F,SI1,60.9,56.0,5.58,5.56,3.39,1736
10052,2.0,Fair,I,SI2,67.7,57.0,7.88,7.64,5.26,10483
10053,1.02,Very Good,F,SI1,60.2,58.0,6.49,6.54,3.92,6195
10054,0.91,Very Good,I,SI1,62.8,57.0,6.09,6.18,3.85,3703
10055,1.31,Premium,I,SI2,59.1,59.0,7.2,7.15,4.24,5744
10056,1.7,Ideal,I,VS1,62.2,55.0,7.63,7.67,4.76,12622
10057,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,7081
10058,0.32,Premium,D,SI1,60.2,58.0,4.4,4.43,2.66,589
10059,1.06,Ideal,I,SI1,61.9,54.0,6.56,6.59,4.07,4745
10060,0.51,Ideal,E,SI1,61.3,55.0,5.11,5.17,3.15,1438
10061,1.2,Ideal,I,VS2,62.5,56.0,6.66,6.74,4.19,5884
10062,0.52,Ideal,D,SI1,61.2,57.0,5.18,5.22,3.18,1429
10063,1.74,Premium,H,SI1,61.6,59.0,7.7,7.62,4.72,8653
10064,0.43,Very Good,G,SI1,58.9,60.0,4.94,4.97,2.92,774
10065,0.32,Ideal,F,VS1,61.2,56.2,4.41,4.44,2.71,695
10066,0.35,Ideal,F,VS1,61.9,55.0,4.53,4.58,2.82,782
10067,1.58,Premium,G,VS2,62.6,59.0,7.44,7.47,4.67,13014
10068,0.32,Ideal,I,VS2,62.5,55.0,4.39,4.38,2.74,576
10069,0.34,Good,G,VS1,63.1,57.0,4.4,4.45,2.79,686
10070,0.32,Premium,F,VVS1,60.7,58.0,4.43,4.4,2.68,1294
10071,0.35,Ideal,G,SI1,60.6,56.0,4.56,4.58,2.77,555
10072,1.0,Fair,D,SI2,66.5,59.0,6.24,6.21,4.14,3965
10073,1.09,Premium,G,SI1,62.5,59.0,6.56,6.53,4.09,4322
10074,0.7,Good,I,SI1,63.8,57.0,5.63,5.66,3.6,2034
10075,1.22,Premium,G,SI1,62.1,58.0,6.89,6.84,4.26,6449
10076,0.5,Ideal,H,VS2,61.7,55.0,5.11,5.14,3.16,1626
10077,1.0,Premium,H,VS1,61.8,61.0,6.4,6.31,3.93,5169
10078,0.92,Ideal,H,VVS1,62.1,54.0,6.26,6.23,3.88,5886
10079,1.11,Premium,H,SI1,58.4,60.0,6.87,6.83,4.0,4842
10080,0.4,Ideal,H,SI1,62.6,57.0,4.7,4.66,2.93,855
10081,1.31,Ideal,H,VS2,61.8,57.0,7.02,7.06,4.35,8261
10082,0.9,Very Good,F,VS2,62.3,58.0,6.14,6.16,3.83,4924
10083,1.04,Ideal,H,SI1,59.7,60.0,6.61,6.59,3.94,4812
10084,0.41,Premium,G,VVS2,61.4,58.0,4.8,4.75,2.93,1076
10085,1.25,Ideal,G,SI1,60.7,56.0,6.98,7.05,4.26,8226
10086,1.5,Very Good,I,VS2,62.5,59.0,7.26,7.3,4.55,8893
10087,0.77,Very Good,H,SI1,60.4,58.0,5.9,5.93,3.57,2591
10088,0.41,Ideal,E,VS1,60.4,55.0,4.85,4.89,2.94,1115
10089,0.63,Ideal,G,VS2,60.9,56.0,5.57,5.6,3.4,2357
10090,1.51,Ideal,E,VS1,61.5,57.0,7.34,7.4,4.53,18729
10091,0.9,Very Good,H,SI2,61.7,60.0,6.17,6.24,3.83,3301
10092,0.5,Very Good,E,SI1,63.0,61.0,5.03,5.07,3.18,1279
10093,0.33,Very Good,F,VVS2,61.2,55.0,4.45,4.47,2.73,801
10094,0.41,Very Good,H,SI1,61.4,60.0,4.73,4.78,2.92,683
10095,0.25,Very Good,G,VVS1,63.0,54.0,4.02,4.04,2.54,525
10096,1.0,Good,G,SI2,57.4,60.0,6.63,6.53,3.78,3941
10097,0.4,Ideal,F,VVS1,61.7,56.0,4.75,4.72,2.92,1323
10098,0.51,Premium,G,VS1,62.9,58.0,5.1,5.05,3.19,1781
10099,1.54,Fair,F,SI1,65.8,56.0,7.22,7.18,4.74,10954
10100,3.01,Premium,I,SI2,60.2,59.0,9.36,9.31,5.62,18242
10101,1.59,Ideal,I,VS2,61.1,55.0,7.54,7.48,4.59,9972
10102,0.52,Ideal,I,VVS1,62.0,55.0,5.19,5.17,3.21,1619
10103,0.36,Ideal,E,SI1,61.6,56.0,4.59,4.56,2.82,810
10104,1.5,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987
10105,0.53,Premium,G,VS1,62.4,58.0,5.2,5.16,3.23,1813
10106,1.39,Ideal,I,SI2,61.6,55.0,7.14,7.18,4.41,6544
10107,2.58,Premium,H,SI2,62.6,57.0,8.77,8.73,5.48,16195
10108,1.0,Very Good,D,VVS2,63.0,59.0,6.35,6.38,4.01,9740
10109,1.55,Ideal,F,SI1,61.9,55.0,7.47,7.42,4.61,14220
10110,0.32,Very Good,F,VS2,61.5,59.7,4.32,4.39,2.68,624
10111,0.72,Good,I,SI1,63.6,59.0,5.61,5.58,3.56,1909
10112,1.2,Ideal,J,SI2,61.7,56.0,6.87,6.79,4.21,4744
10113,1.52,Ideal,I,VS1,62.4,57.0,7.32,7.36,4.58,10641
10114,0.36,Ideal,G,SI1,61.4,55.0,4.61,4.64,2.84,571
10115,1.7,Premium,I,VS2,62.2,58.0,7.65,7.6,4.74,11888
10116,0.63,Ideal,F,VS2,61.2,56.0,5.56,5.51,3.39,2182
10117,1.23,Very Good,F,SI2,60.9,58.0,6.93,6.96,4.23,4661
10118,0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625
10119,0.54,Very Good,G,VVS1,60.7,56.0,5.25,5.3,3.2,2123
10120,1.21,Premium,G,VVS2,62.5,55.0,6.84,6.8,4.26,9757
10121,0.38,Ideal,F,VS2,62.0,54.0,4.64,4.69,2.89,796
10122,1.51,Premium,E,VS2,62.2,59.0,7.36,7.4,4.59,14709
10123,0.3,Very Good,H,VVS1,63.4,55.0,4.3,4.28,2.72,878
10124,0.35,Very Good,H,SI1,63.3,54.0,4.53,4.51,2.86,647
10125,0.73,Very Good,D,VS2,60.5,59.0,5.76,5.84,3.51,3411
10126,1.11,Very Good,D,VVS1,62.5,58.0,6.67,6.6,4.15,12200
10127,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,6097
10128,1.5,Premium,J,SI2,62.6,56.0,7.24,7.11,4.51,5268
10129,1.2,Ideal,G,SI2,62.2,56.0,6.74,6.84,4.22,5385
10130,1.07,Ideal,J,VS2,61.7,58.0,6.58,6.55,4.05,4686
10131,1.04,Very Good,F,IF,59.8,56.0,6.64,6.71,3.99,10515
10132,0.43,Ideal,H,VS1,61.1,57.0,4.88,4.91,2.99,868
10133,1.09,Ideal,J,VS2,62.5,55.0,6.64,6.58,4.13,3615
10134,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1754
10135,0.41,Ideal,E,VVS2,61.5,55.0,4.79,4.83,2.96,1187
10136,2.24,Very Good,H,SI2,62.3,57.0,8.3,8.36,5.19,16077
10137,0.54,Ideal,G,VS1,61.8,54.0,5.24,5.22,3.23,1847
10138,1.51,Fair,I,VS2,58.8,62.0,7.57,7.51,4.43,9116
10139,1.18,Very Good,E,SI2,62.5,60.0,6.7,6.74,4.2,5088
10140,0.34,Ideal,D,SI1,62.0,55.0,4.5,4.53,2.8,584
10141,0.41,Ideal,I,VS2,61.2,56.0,4.77,4.81,2.93,1056
10142,2.06,Premium,I,SI2,61.8,58.0,8.22,8.11,5.05,14803
10143,1.51,Fair,D,VS2,66.0,57.0,7.17,7.08,4.7,15152
10144,1.01,Ideal,F,VS2,62.0,56.0,6.51,6.46,4.02,6533
10145,1.11,Ideal,G,VVS2,61.6,57.0,6.7,6.74,4.14,9507
10146,1.55,Ideal,G,SI2,60.5,60.0,7.46,7.49,4.52,8981
10147,1.21,Ideal,G,VS1,62.5,57.0,6.77,6.7,4.21,6025
10148,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,794
10149,0.33,Ideal,G,SI1,62.2,54.0,4.42,4.45,2.76,475
10150,0.32,Premium,G,VVS2,60.9,61.0,4.41,4.39,2.68,936
10151,0.3,Premium,I,VS1,60.5,60.0,4.33,4.3,2.61,608
10152,1.59,Premium,F,SI2,62.2,58.0,7.49,7.45,4.64,7123
10153,0.71,Premium,G,VVS2,60.3,58.0,5.82,5.78,3.5,2839
10154,1.17,Ideal,J,VS1,62.5,57.0,6.68,6.63,4.16,5242
10155,0.32,Ideal,D,SI2,62.6,56.0,4.4,4.38,2.75,612
10156,0.38,Very Good,J,SI1,63.2,59.0,4.59,4.62,2.91,538
10157,0.72,Ideal,H,SI2,61.4,55.0,5.81,5.78,3.56,2112
10158,0.31,Ideal,I,VS2,61.2,55.0,4.36,4.4,2.68,421
10159,0.33,Ideal,E,VVS2,61.2,57.0,4.47,4.45,2.73,1114
10160,1.04,Ideal,F,SI2,61.2,57.0,6.54,6.6,4.02,4740
10161,0.25,Very Good,G,VS2,63.0,54.0,4.04,4.06,2.55,407
10162,1.04,Ideal,G,VS2,62.8,56.0,6.48,6.42,4.05,6542
10163,0.6,Ideal,G,IF,62.0,55.0,5.39,5.44,3.36,2570
10164,0.75,Premium,F,SI1,61.5,58.0,5.83,5.87,3.6,2683
10165,0.9,Fair,H,SI2,64.4,59.0,6.03,5.99,3.87,2138
10166,0.36,Ideal,E,VS2,61.2,56.0,4.62,4.6,2.82,1013
10167,0.7,Fair,G,I1,67.5,55.0,5.59,5.37,3.71,1069
10168,0.31,Ideal,G,SI1,61.8,55.0,4.38,4.42,2.72,493
10169,2.08,Premium,H,SI1,62.6,59.0,8.13,8.1,5.08,17778
10170,0.3,Premium,H,SI1,62.9,58.0,4.28,4.24,2.68,554
10171,0.4,Ideal,G,IF,61.2,56.0,4.74,4.77,2.91,1199
10172,1.02,Very Good,D,SI1,62.8,58.0,6.37,6.41,4.01,5733
10173,1.0,Premium,H,I1,61.3,60.0,6.39,6.43,3.93,2695
10174,0.3,Ideal,H,VVS1,61.4,56.0,4.32,4.35,2.66,665
10175,1.32,Premium,F,VS2,60.9,59.0,7.12,7.06,4.32,10423
10176,1.1,Ideal,G,VS2,61.9,57.0,6.63,6.57,4.09,7540
10177,0.57,Ideal,G,VS1,62.1,56.0,5.31,5.34,3.3,1868
10178,0.34,Ideal,E,SI1,61.4,55.0,4.54,4.48,2.77,765
10179,0.43,Ideal,G,VVS2,60.9,57.0,4.85,4.9,2.97,1056
10180,0.5,Ideal,G,VS1,62.0,55.0,5.11,5.05,3.15,1746
10181,1.53,Very Good,D,SI1,59.2,57.0,7.52,7.55,4.46,11873
10182,1.03,Premium,G,SI1,60.5,60.0,6.52,6.48,3.93,5105
10183,0.31,Very Good,H,VS1,62.9,58.0,4.31,4.34,2.72,544
10184,0.71,Ideal,E,SI1,61.7,56.0,5.72,5.75,3.54,2663
10185,0.9,Ideal,G,VS1,61.4,57.0,6.18,6.32,3.84,4479
10186,1.7,Premium,H,SI1,62.5,60.0,7.54,7.49,4.7,11709
10187,0.3,Good,D,VVS2,63.6,55.0,4.25,4.31,2.72,752
10188,0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,911
10189,0.7,Ideal,H,SI2,61.6,56.0,5.69,5.71,3.51,2202
10190,0.41,Good,E,VVS1,64.3,54.0,4.68,4.72,3.02,957
10191,0.34,Premium,H,VS2,62.4,60.0,4.44,4.41,2.76,689
10192,1.32,Ideal,E,VS2,62.0,56.0,7.02,7.07,4.37,10919
10193,0.59,Premium,H,SI1,62.2,59.0,5.38,5.32,3.33,1106
10194,0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66,2803
10195,0.7,Very Good,F,SI1,61.5,58.0,5.65,5.7,3.49,2373
10196,0.26,Very Good,F,VS1,61.9,57.0,4.11,4.14,2.55,499
