id,carat,cut,color,clarity,depth,table,x,y,z
4062,0.57,Ideal,E,VVS2,61.9,54.3,5.31,5.33,3.29
4063,0.31,Good,E,SI1,63.2,59.0,4.28,4.33,2.72
4064,0.3,Premium,I,IF,60.5,59.0,4.32,4.34,2.62
4065,1.01,Premium,G,VS1,62.6,59.0,6.46,6.38,4.02
4066,0.31,Premium,G,SI1,61.8,58.0,4.32,4.35,2.68
4067,0.55,Very Good,E,SI1,63.0,59.0,5.25,5.17,3.28
4068,0.74,Ideal,I,VS1,60.8,57.0,5.86,5.88,3.57
4069,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23
4070,1.0,Good,F,SI1,63.7,58.0,6.29,6.34,4.02
4071,0.41,Ideal,F,VVS2,60.1,57.0,4.85,4.83,2.91
4072,0.52,Very Good,F,SI2,62.3,60.0,5.1,5.13,3.19
4073,0.9,Very Good,H,VS2,62.6,59.0,6.07,6.16,3.83
4074,0.5,Fair,D,VVS2,67.6,57.0,4.95,4.84,3.31
4075,0.3,Premium,D,VS1,61.9,58.0,4.28,4.32,2.66
4076,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26
4077,1.06,Premium,F,SI1,62.4,58.0,6.56,6.51,4.07
4078,1.0,Good,E,SI2,57.7,65.0,6.59,6.55,3.79
4079,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34
4080,0.32,Premium,G,VVS1,62.6,58.0,4.38,4.41,2.75
4081,0.71,Very Good,F,SI1,61.8,58.0,5.72,5.81,3.56
4082,1.4,Good,G,VVS2,63.4,59.0,7.04,7.12,4.49
4083,0.56,Very Good,E,SI1,62.8,57.6,5.26,5.31,3.32
4084,1.2,Ideal,I,VVS2,62.9,55.0,6.75,6.79,4.26
4085,1.21,Ideal,G,SI2,62.1,57.0,6.8,6.85,4.24
4086,0.3,Ideal,E,VS2,61.8,57.0,4.3,4.34,2.67
4087,1.5,Very Good,E,SI2,63.3,57.0,7.28,7.23,4.59
4088,1.01,Very Good,E,VVS2,61.5,58.0,6.4,6.44,3.95
4089,0.52,Ideal,F,VS1,62.0,57.0,5.13,5.16,3.19
4090,0.72,Very Good,G,VVS2,62.2,57.0,5.67,5.72,3.54
4091,1.0,Very Good,F,VS2,62.1,58.0,6.36,6.45,3.96
4092,0.54,Ideal,G,VVS1,61.3,56.0,5.28,5.23,3.22
4093,2.09,Ideal,G,VS2,61.8,57.0,8.24,8.17,5.07
4094,0.31,Premium,F,IF,61.5,58.0,4.33,4.35,2.67
4095,0.9,Very Good,H,VVS1,62.3,59.0,6.09,6.15,3.81
4096,0.7,Very Good,G,VS2,63.2,57.0,5.61,5.66,3.56
4097,0.43,Ideal,G,VVS1,61.4,55.0,4.86,4.91,3.0
4098,1.01,Very Good,H,VS2,60.7,58.0,6.47,6.51,3.94
4099,1.03,Premium,E,VS2,61.3,61.0,6.53,6.46,3.98
4100,0.7,Premium,E,SI2,62.0,60.0,5.72,5.67,3.53
4101,1.15,Ideal,I,SI1,61.9,56.0,6.68,6.72,4.15
4102,0.54,Very Good,D,VS2,60.5,59.0,5.24,5.28,3.18
4103,1.5,Good,F,VS2,58.6,64.0,7.52,7.46,4.39
4104,0.3,Premium,I,VS1,60.5,60.0,4.3,4.33,2.61
4105,0.31,Premium,E,VS2,60.8,58.0,4.35,4.37,2.65
4106,0.3,Premium,J,VS2,62.2,58.0,4.28,4.3,2.67
4107,0.44,Very Good,G,SI1,61.6,61.0,4.83,4.88,2.99
4108,1.16,Ideal,D,SI1,62.0,56.0,6.73,6.76,4.18
4109,1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0
4110,0.71,Premium,G,VS2,62.1,62.0,5.71,5.65,3.53
4111,0.51,Very Good,F,SI1,63.7,55.0,5.06,5.11,3.24
4112,1.01,Ideal,E,SI2,61.1,57.0,6.48,6.52,3.97
4113,0.45,Good,F,VS1,59.0,62.0,5.02,5.04,2.97
4114,1.3,Premium,D,SI2,60.2,59.0,7.05,7.0,4.23
4115,1.51,Very Good,I,VS2,61.6,57.0,7.28,7.34,4.5
4116,0.61,Good,H,VS1,60.1,60.3,5.47,5.5,3.29
4117,0.7,Good,E,SI1,63.5,59.0,5.49,5.53,3.5
4118,1.06,Ideal,G,VS1,61.3,57.0,6.53,6.56,4.01
4119,0.5,Ideal,H,SI1,62.0,56.0,5.08,5.11,3.16
4120,0.51,Premium,E,SI1,61.5,58.0,5.14,5.11,3.15
4121,0.51,Ideal,H,VVS2,61.6,55.0,5.11,5.14,3.16
4122,0.32,Ideal,D,SI1,62.0,55.0,4.37,4.47,2.74
4123,1.39,Ideal,F,SI2,62.2,56.0,7.2,7.15,4.46
4124,0.56,Premium,J,VS2,60.9,60.0,5.33,5.27,3.23
4125,0.42,Premium,G,VVS1,62.7,58.0,4.79,4.74,2.99
4126,0.31,Ideal,G,VVS2,62.4,56.0,4.31,4.35,2.7
4127,0.7,Ideal,H,SI1,61.5,55.0,5.73,5.79,3.54
4128,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.55,4.08
4129,0.97,Ideal,H,VVS1,60.4,57.0,6.4,6.48,3.89
4130,0.31,Very Good,G,VVS2,62.6,57.0,4.29,4.33,2.7
4131,0.4,Good,D,VS1,60.5,63.0,4.75,4.77,2.88
4132,0.8,Good,D,SI1,63.7,57.0,5.88,5.8,3.72
4133,0.42,Ideal,H,IF,61.0,56.0,4.82,4.79,2.93
4134,0.7,Very Good,F,SI2,60.7,58.0,5.73,5.77,3.49
4135,0.39,Premium,G,VS2,60.9,59.0,4.74,4.69,2.87
4136,0.7,Premium,E,SI1,61.8,59.0,5.63,5.57,3.46
4137,0.31,Ideal,F,VS1,61.8,56.0,4.33,4.36,2.68
4138,1.0,Premium,E,VS2,61.5,58.0,6.39,6.42,3.94
4139,1.31,Premium,H,SI2,60.8,58.0,7.13,7.08,4.32
4140,1.13,Premium,F,SI1,60.6,60.0,6.76,6.67,4.07
4141,0.32,Premium,G,SI1,61.6,58.0,4.36,4.4,2.7
4142,2.09,Very Good,I,SI2,63.0,57.0,8.09,8.13,5.11
4143,0.31,Ideal,F,VVS1,60.7,57.0,4.41,4.39,2.67
4144,0.7,Very Good,H,VVS1,63.5,58.0,5.63,5.59,3.56
4145,0.9,Very Good,G,SI1,61.6,59.0,6.13,6.19,3.8
4146,0.41,Ideal,H,VS1,61.8,56.0,4.81,4.77,2.96
4147,1.01,Good,F,SI2,63.7,59.0,6.38,6.28,4.03
4148,0.91,Good,F,SI1,58.0,57.0,6.36,6.47,3.72
4149,0.43,Very Good,F,VS2,61.0,57.0,4.84,4.87,2.96
4150,0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53
4151,0.27,Ideal,G,VS2,61.5,56.0,4.16,4.18,2.56
4152,1.02,Very Good,I,VS2,62.1,59.0,6.37,6.44,3.98
4153,0.38,Very Good,I,SI1,60.2,60.0,4.65,4.68,2.81
4154,0.7,Fair,F,I1,65.9,57.0,5.64,5.5,3.67
4155,0.77,Premium,D,VS1,59.4,59.0,6.0,5.96,3.55
4156,0.72,Ideal,H,SI1,60.3,59.0,5.77,5.83,3.5
4157,1.25,Good,J,SI1,63.6,57.0,6.86,6.81,4.35
4158,2.14,Premium,J,SI2,61.5,59.0,8.25,8.3,5.11
4159,0.39,Very Good,H,VVS2,62.1,58.0,4.63,4.65,2.88
4160,1.35,Very Good,G,VS1,63.4,56.0,7.09,7.01,4.47
4161,1.01,Premium,F,IF,62.3,57.0,6.5,6.35,4.0
4162,0.31,Ideal,D,VS1,60.5,57.0,4.4,4.43,2.67
4163,1.02,Premium,G,SI1,58.9,59.0,6.59,6.55,3.87
4164,2.01,Good,D,SI2,59.9,65.0,8.07,8.0,4.81
4165,0.96,Ideal,G,SI1,62.6,57.0,6.28,6.24,3.92
4166,0.41,Premium,G,VS2,59.2,58.0,4.83,4.8,2.85
4167,1.64,Very Good,I,SI1,62.3,58.0,7.53,7.63,4.72
4168,0.54,Ideal,H,SI2,61.2,56.0,5.27,5.24,3.21
4169,0.33,Very Good,D,VVS2,59.5,56.0,4.51,4.56,2.7
4170,0.32,Ideal,F,VVS2,61.3,56.0,4.42,4.45,2.72
4171,0.4,Very Good,E,SI1,62.8,59.0,4.67,4.7,2.94
4172,1.01,Good,D,SI2,63.6,56.0,6.38,6.33,4.04
4173,0.71,Ideal,H,VS1,61.7,55.0,5.73,5.75,3.54
4174,0.23,Very Good,G,VVS2,62.8,55.0,3.93,3.95,2.47
4175,1.5,Very Good,G,VS2,60.5,57.0,7.39,7.43,4.48
4176,1.3,Very Good,J,VS1,63.2,57.0,6.91,6.86,4.35
4177,1.71,Ideal,E,SI2,61.9,57.0,7.69,7.65,4.75
4178,0.56,Ideal,D,VS2,60.6,56.0,5.33,5.37,3.24
4179,0.26,Ideal,H,VS1,62.2,54.0,4.09,4.11,2.55
4180,0.36,Very Good,D,SI1,60.4,58.0,4.6,4.64,2.79
4181,0.53,Ideal,D,VS2,62.1,55.0,5.17,5.2,3.22
4182,1.54,Premium,H,VS2,61.9,59.0,7.31,7.33,4.53
4183,0.3,Very Good,G,VVS2,62.3,57.0,4.26,4.28,2.66
4184,1.13,Premium,I,SI1,61.7,58.0,6.66,6.62,4.1
4185,0.72,Very Good,F,SI2,60.4,59.0,5.8,5.83,3.51
4186,1.25,Premium,H,SI2,62.2,60.0,6.83,6.8,4.24
4187,0.31,Premium,E,VS1,60.5,59.0,4.36,4.37,2.64
4188,0.4,Very Good,D,VVS2,62.0,61.0,4.7,4.72,2.92
4189,1.51,Fair,E,SI1,65.3,62.0,7.16,7.09,4.65
4190,0.92,Good,D,SI2,63.9,55.0,6.14,6.09,3.91
4191,1.0,Fair,D,VS1,55.9,60.0,6.77,6.71,4.38
4192,2.22,Ideal,J,VS1,61.8,59.0,8.34,8.37,5.16
4193,0.32,Premium,E,VVS1,60.5,58.0,4.42,4.47,2.69
4194,1.24,Ideal,H,VVS1,61.9,55.0,6.85,6.91,4.27
4195,0.9,Ideal,F,VS2,62.7,56.0,6.17,6.2,3.88
4196,1.28,Ideal,G,VVS1,62.1,56.0,6.96,6.93,4.31
4197,1.13,Ideal,F,VVS2,61.4,56.0,6.77,6.72,4.14
4198,0.36,Ideal,F,VS2,61.0,57.0,4.6,4.62,2.81
4199,0.71,Ideal,F,SI2,62.2,56.0,5.76,5.7,3.56
4200,1.31,Premium,I,VS2,61.9,59.0,7.02,6.98,4.33
4201,1.22,Premium,H,VS2,60.9,58.0,6.89,6.86,4.19
4202,1.74,Premium,G,VS2,61.0,58.0,7.77,7.75,4.73
4203,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2
4204,0.31,Ideal,G,VVS1,61.8,54.0,4.39,4.41,2.72
4205,0.32,Ideal,D,VVS1,62.1,54.0,4.4,4.43,2.74
4206,1.67,Ideal,H,VS1,61.8,56.0,7.6,7.57,4.69
4207,0.5,Good,E,SI1,63.7,56.0,5.06,5.02,3.21
4208,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47
4209,1.01,Premium,G,VS2,59.8,61.0,6.53,6.44,3.88
4210,0.64,Fair,E,SI1,59.5,64.0,5.65,5.39,3.31
4211,0.31,Premium,F,VVS1,61.8,59.0,4.35,4.33,2.68
4212,2.09,Very Good,I,VS1,62.9,57.0,8.09,8.13,5.1
4213,0.75,Ideal,E,SI1,61.4,56.0,5.83,5.89,3.6
4214,0.39,Ideal,E,VS1,62.0,54.0,4.68,4.71,2.91
4215,0.73,Ideal,G,VVS2,61.3,57.0,5.84,5.81,3.57
4216,1.03,Premium,F,SI2,61.6,58.0,6.46,6.43,3.97
4217,1.02,Premium,G,SI2,60.7,56.0,6.56,6.51,3.97
4218,0.9,Very Good,G,VS1,62.3,60.0,6.0,6.08,3.76
4219,0.9,Premium,F,SI2,61.9,62.0,6.12,6.07,3.77
4220,1.01,Premium,F,VS2,62.2,60.0,6.37,6.4,3.97
4221,1.52,Premium,J,VS1,62.2,59.0,7.38,7.32,4.57
4222,1.1,Good,F,SI2,63.8,56.0,6.53,6.48,4.15
4223,1.01,Premium,H,SI1,60.7,58.0,6.49,6.45,3.93
4224,2.04,Good,H,SI1,58.4,60.0,8.31,8.36,4.87
4225,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96
4226,1.01,Premium,G,SI2,60.1,59.0,6.55,6.46,3.91
4227,0.31,Ideal,D,VS2,62.7,57.0,4.3,4.34,2.71
4228,1.15,Premium,F,SI2,62.2,59.0,6.7,6.62,4.14
4229,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53
4230,1.24,Ideal,F,VS2,61.6,54.0,6.95,6.91,4.27
4231,0.8,Ideal,D,VS2,61.3,56.0,5.97,6.0,3.67
4232,0.31,Ideal,D,VS2,62.7,57.0,4.34,4.3,2.71
4233,0.31,Premium,D,SI2,62.1,59.0,4.31,4.35,2.69
4234,1.11,Premium,H,VS2,60.9,57.0,6.77,6.69,4.1
4235,1.05,Very Good,H,VS2,59.0,59.0,6.68,6.71,3.95
4236,1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28
4237,0.4,Very Good,G,SI1,61.9,55.0,4.71,4.75,2.93
4238,0.31,Ideal,F,VS2,60.8,57.0,4.41,4.38,2.67
4239,1.03,Very Good,G,SI1,59.4,60.0,6.61,6.66,3.94
4240,1.29,Ideal,G,SI1,60.9,59.0,6.99,7.04,4.27
4241,1.3,Premium,G,VVS2,60.2,58.0,7.17,7.08,4.29
4242,1.01,Very Good,F,SI1,61.3,60.0,6.39,6.43,3.93
4243,0.31,Very Good,J,SI2,63.3,58.0,4.35,4.34,2.75
4244,1.07,Premium,E,SI2,60.5,59.0,6.59,6.67,4.01
4245,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03
4246,0.54,Ideal,D,VS2,61.1,57.0,5.19,5.29,3.2
4247,0.91,Very Good,E,SI2,63.2,56.0,6.08,6.14,3.86
4248,1.03,Premium,J,SI1,61.7,54.0,6.56,6.5,4.03
4249,0.91,Good,G,VS1,63.4,54.0,6.07,6.24,3.9
4250,0.28,Very Good,E,VVS1,59.6,59.0,4.3,4.33,2.57
4251,0.54,Ideal,D,VS2,61.2,56.0,5.24,5.28,3.22
4252,0.3,Ideal,F,VS2,61.3,55.0,4.3,4.32,2.64
4253,0.78,Good,G,SI2,57.9,63.0,6.05,6.0,3.49
4254,0.38,Ideal,E,VS1,62.7,55.0,4.65,4.6,2.9
4255,2.01,Premium,I,VS2,61.6,61.0,8.08,7.97,4.94
4256,0.9,Very Good,G,SI2,59.9,60.0,6.19,6.23,3.72
4257,1.51,Ideal,I,SI1,59.4,61.0,7.52,7.46,4.45
4258,1.0,Good,G,VVS1,58.4,60.0,6.55,6.61,3.84
4259,0.54,Ideal,E,SI1,61.5,55.0,5.24,5.26,3.23
4260,1.01,Fair,E,SI2,55.2,65.0,6.78,6.67,3.71
4261,1.06,Ideal,G,VS1,62.3,55.0,6.5,6.53,4.06
4262,0.73,Very Good,E,VS1,62.3,58.0,5.72,5.74,3.57
4263,0.56,Premium,G,VS1,62.4,58.0,5.3,5.22,3.28
4264,0.45,Fair,F,VS1,66.9,54.0,4.85,4.75,3.21
4265,1.39,Ideal,G,IF,60.6,55.0,7.21,7.27,4.39
4266,0.53,Premium,F,SI1,62.2,58.0,5.19,5.16,3.22
4267,0.54,Premium,G,SI2,61.4,59.0,5.21,5.24,3.21
4268,0.4,Ideal,D,VS2,62.3,57.0,4.75,4.72,2.95
4269,1.07,Premium,F,SI2,60.8,58.0,6.62,6.68,4.04
4270,0.6,Premium,F,VVS2,61.3,59.0,5.45,5.41,3.33
4271,1.0,Fair,G,SI2,67.8,61.0,5.96,5.9,4.02
4272,1.15,Ideal,G,VS2,59.2,56.0,6.88,6.83,0.0
4273,0.33,Ideal,G,VS2,61.6,55.0,4.46,4.43,2.74
4274,1.21,Very Good,F,SI2,61.5,61.0,6.77,6.82,4.18
4275,0.52,Ideal,H,VS1,62.5,58.0,5.14,5.17,3.22
4276,0.41,Very Good,E,VVS1,61.2,62.0,4.76,4.78,2.92
4277,0.9,Premium,I,VS2,61.9,59.0,6.2,6.14,3.82
4278,0.34,Premium,G,SI2,62.8,59.0,4.47,4.45,2.8
4279,0.31,Very Good,G,IF,61.6,55.0,4.38,4.42,2.71
4280,0.9,Good,H,SI2,62.4,61.0,6.03,6.11,3.79
4281,1.03,Premium,D,SI1,60.5,61.0,6.47,6.43,3.9
4282,2.07,Very Good,I,SI1,62.3,60.0,8.12,8.16,5.07
4283,0.31,Premium,G,SI1,62.4,55.0,4.34,4.31,2.7
4284,1.1,Ideal,F,SI1,61.6,54.0,6.66,6.69,4.11
4285,0.9,Very Good,F,SI1,62.8,59.0,6.1,6.16,3.85
4286,0.54,Very Good,G,SI1,60.4,56.0,5.29,5.34,3.21
4287,0.52,Premium,E,VS2,62.8,55.0,5.15,5.11,3.22
4288,0.3,Ideal,G,VVS1,61.1,57.0,4.32,4.35,2.65
4289,0.34,Ideal,I,SI1,62.3,55.0,4.42,4.47,2.77
4290,0.26,Very Good,F,SI1,61.4,56.0,4.13,4.16,2.54
4291,1.0,Premium,F,SI1,61.4,62.0,6.36,6.32,3.89
4292,0.31,Ideal,E,IF,61.9,55.0,4.38,4.41,2.72
4293,1.01,Ideal,I,VS1,62.8,57.0,6.42,6.38,4.02
4294,0.31,Premium,H,VVS2,61.9,58.0,4.33,4.3,2.67
4295,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89
4296,0.33,Ideal,D,VVS2,60.9,57.0,4.48,4.46,2.72
4297,1.23,Ideal,G,VS1,61.6,57.0,6.84,6.9,4.23
4298,0.31,Ideal,D,SI1,61.5,56.0,4.33,4.35,2.67
4299,0.73,Very Good,E,VVS2,63.4,58.0,5.68,5.7,3.61
4300,0.71,Very Good,G,SI2,62.4,59.0,5.68,5.7,3.55
4301,0.61,Ideal,E,VS1,61.7,55.0,5.45,5.47,3.37
4302,1.7,Very Good,J,SI1,59.1,61.0,7.79,7.85,4.62
4303,1.21,Ideal,H,VS1,62.8,54.0,6.81,6.78,4.26
4304,0.33,Very Good,G,VS1,60.8,57.0,4.5,4.51,2.74
4305,0.33,Premium,H,VS2,62.4,58.0,4.39,4.42,2.75
4306,1.34,Ideal,J,SI2,62.5,57.0,7.0,7.08,4.4
4307,0.31,Ideal,H,VS1,61.6,56.0,4.34,4.36,2.68
4308,1.22,Ideal,H,SI2,61.1,57.0,6.9,5.92,4.22
4309,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73
4310,0.31,Good,G,VVS2,63.4,59.0,4.26,4.29,2.71
4311,1.51,Good,I,VS1,63.6,57.0,7.14,7.21,4.56
4312,0.42,Ideal,E,VVS2,61.3,56.0,4.85,4.81,2.96
4313,0.74,Very Good,E,SI1,61.3,58.0,5.8,5.84,3.57
4314,0.7,Very Good,F,VS2,60.5,58.0,5.78,5.83,3.51
4315,0.3,Ideal,E,VS1,60.7,57.0,4.31,4.36,2.63
4316,0.91,Premium,H,SI1,60.9,58.0,6.22,6.26,3.8
4317,0.51,Good,H,SI2,56.7,60.0,5.38,5.35,3.04
4318,2.06,Very Good,G,SI2,59.8,61.0,8.22,8.26,4.93
4319,0.5,Ideal,D,VS2,61.8,54.0,5.13,5.16,3.18
4320,1.21,Good,J,SI2,61.1,60.8,6.83,6.89,4.18
4321,0.71,Very Good,D,SI1,63.2,58.0,5.65,5.68,3.58
4322,0.91,Premium,E,SI1,62.1,58.0,6.15,6.18,3.83
4323,0.5,Very Good,F,VS2,60.6,59.0,5.03,5.13,3.08
4324,0.58,Premium,G,VS1,61.5,58.0,5.41,5.35,3.31
4325,0.66,Very Good,H,VVS1,61.9,59.0,5.59,5.65,3.48
4326,0.46,Very Good,G,VS1,61.4,59.7,4.94,4.97,3.05
4327,0.3,Very Good,D,SI1,62.3,57.0,4.26,4.31,2.67
4328,0.4,Ideal,F,VVS1,61.7,57.0,4.72,4.75,2.92
4329,1.7,Premium,I,VS1,59.8,59.0,7.79,7.7,4.63
4330,0.46,Very Good,E,VS2,61.3,57.0,4.99,5.02,3.07
4331,0.31,Ideal,E,VVS1,61.0,57.0,4.33,4.36,2.65
4332,1.13,Ideal,H,SI1,62.3,56.0,6.66,6.69,4.16
4333,1.13,Premium,E,SI2,60.4,59.0,6.7,6.75,4.06
4334,0.23,Very Good,F,VS2,61.6,59.0,3.96,4.0,2.45
4335,0.38,Ideal,E,VVS2,61.6,55.0,4.63,4.66,2.86
4336,1.01,Premium,H,VS2,62.3,58.0,6.45,6.36,3.99
4337,0.28,Ideal,G,VS1,62.1,55.0,4.22,4.25,2.63
4338,1.23,Premium,J,VS1,62.7,58.0,6.79,6.82,4.27
4339,0.35,Ideal,E,VVS1,62.2,56.0,4.51,4.53,2.81
4340,1.54,Premium,E,VS2,62.7,58.0,7.33,7.37,4.61
4341,1.09,Good,H,SI1,62.4,64.0,6.61,6.51,4.09
4342,0.3,Premium,G,VVS2,61.2,58.0,4.34,4.32,2.65
4343,0.32,Ideal,H,VVS2,62.2,54.0,4.42,4.46,2.76
4344,0.35,Premium,G,VS1,62.9,58.0,4.49,4.48,2.82
4345,0.4,Premium,D,VS2,62.4,59.0,4.72,4.7,2.94
4346,0.31,Premium,I,VVS2,59.4,59.0,4.44,4.41,2.63
4347,1.02,Very Good,F,SI1,63.0,58.0,6.36,6.4,4.02
4348,1.2,Very Good,G,SI2,60.2,63.0,6.81,6.84,4.11
4349,0.51,Ideal,G,VVS2,62.0,57.0,5.1,5.13,3.17
4350,0.53,Very Good,F,VS2,63.4,56.0,5.16,5.13,3.26
4351,0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5
4352,1.13,Very Good,E,SI2,60.3,58.0,6.78,6.86,4.11
4353,0.7,Ideal,D,SI1,62.5,56.0,5.67,5.73,3.56
4354,0.42,Ideal,I,VVS2,62.8,54.0,4.78,4.8,3.01
4355,0.36,Ideal,J,VS1,61.7,53.7,4.58,4.62,2.84
4356,1.29,Ideal,F,SI2,61.7,54.0,7.08,6.99,4.34
4357,0.3,Ideal,D,VS1,61.0,57.0,4.32,4.31,2.63
4358,1.1,Ideal,E,VVS1,61.1,56.0,6.69,6.73,4.1
4359,0.33,Ideal,G,VVS1,62.3,55.0,4.46,4.43,2.77
4360,0.77,Premium,F,SI1,60.0,61.0,5.97,5.93,3.57
4361,0.3,Premium,D,VS1,59.4,60.0,4.38,4.34,2.59
4362,1.21,Premium,F,VS1,61.6,58.0,6.88,6.82,4.22
4363,1.71,Good,H,VS2,63.7,58.0,7.57,7.54,4.81
4364,0.4,Ideal,F,VS1,61.3,56.0,4.76,4.73,2.91
4365,0.73,Ideal,H,VVS1,62.1,56.0,5.75,5.8,3.59
4366,1.14,Ideal,J,SI1,61.5,56.0,6.7,6.74,4.13
4367,0.56,Premium,G,VS2,62.5,57.0,5.28,5.25,3.29
4368,1.51,Ideal,F,VS2,63.0,55.0,7.29,7.24,4.58
4369,0.7,Premium,F,VVS1,62.4,56.0,5.69,5.63,3.53
4370,0.3,Premium,E,VS1,61.8,58.0,4.33,4.31,2.67
4371,0.32,Ideal,G,SI1,62.6,55.0,4.41,4.38,2.75
4372,1.0,Fair,H,SI2,63.7,54.0,6.42,6.27,4.06
4373,1.01,Very Good,D,VS1,63.1,59.0,6.37,6.34,4.01
4374,1.7,Ideal,I,SI1,60.4,58.0,7.73,7.67,4.65
4375,1.1,Premium,I,SI1,60.4,61.0,6.73,6.69,4.05
4376,0.59,Ideal,G,VVS2,62.2,56.0,5.37,5.4,3.35
4377,1.55,Very Good,G,SI1,59.2,59.0,7.51,7.59,4.47
4378,0.3,Ideal,F,VVS1,62.1,55.0,4.32,4.31,2.68
4379,0.4,Premium,E,VS2,60.7,60.0,4.75,4.7,2.87
4380,0.72,Premium,G,VVS2,60.7,60.0,5.8,5.87,3.54
4381,0.4,Very Good,E,SI1,59.8,61.0,4.76,4.81,2.86
4382,0.9,Very Good,J,VS1,60.4,58.0,6.22,6.27,3.77
4383,0.3,Good,G,VS1,63.6,57.0,4.26,4.23,2.7
4384,0.41,Very Good,J,IF,60.8,56.0,4.83,4.87,2.95
4385,0.53,Ideal,D,VS2,61.2,56.0,5.2,5.23,3.19
4386,0.33,Ideal,H,SI1,63.0,56.0,4.42,4.41,2.78
4387,0.3,Ideal,D,VS2,62.3,56.0,4.32,4.29,2.68
4388,1.3,Premium,J,VS2,61.5,58.0,7.05,7.0,4.32
4389,0.31,Ideal,D,SI2,62.1,57.0,4.32,4.34,2.69
4390,0.9,Good,G,VVS1,64.0,55.0,6.05,6.02,3.86
4391,2.14,Very Good,J,VS2,62.8,57.0,8.27,8.16,5.16
4392,2.01,Ideal,I,SI2,61.5,56.0,8.1,8.16,5.0
4393,0.35,Ideal,H,IF,60.8,56.0,4.61,4.63,2.81
4394,1.01,Premium,G,VVS2,61.3,61.0,6.47,6.32,3.92
4395,0.25,Very Good,D,VVS2,61.3,59.0,4.07,4.12,2.51
4396,0.9,Ideal,J,VS1,62.6,55.0,6.13,6.11,3.83
4397,0.58,Ideal,E,VS1,61.8,57.0,5.33,5.35,3.3
4398,0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38
4399,0.57,Ideal,E,VS1,62.0,55.0,5.31,5.34,3.3
4400,0.45,Premium,D,VVS2,59.8,59.0,5.01,4.85,2.96
4401,0.33,Ideal,G,IF,61.0,55.0,4.49,4.52,2.75
4402,1.03,Very Good,G,VS2,61.0,58.0,6.5,6.54,3.98
4403,0.7,Good,F,SI1,63.1,56.0,5.63,5.66,3.56
4404,0.4,Premium,D,VS2,62.4,59.0,4.7,4.72,2.94
4405,1.56,Premium,J,VS1,61.1,59.0,7.52,7.49,4.58
4406,1.01,Premium,H,SI1,62.4,58.0,6.41,6.35,3.98
4407,0.72,Ideal,G,VVS2,62.4,57.0,5.71,5.76,3.58
4408,0.31,Premium,E,SI1,62.7,58.0,4.33,4.31,2.71
4409,0.73,Premium,H,SI2,62.5,58.0,5.73,5.69,3.57
4410,0.32,Ideal,H,SI1,61.0,56.6,4.4,4.43,2.7
4411,0.32,Very Good,I,VVS1,63.0,58.0,4.32,4.38,2.74
4412,0.31,Ideal,D,VS2,62.8,54.0,4.32,4.34,2.72
4413,1.26,Very Good,G,VVS1,60.2,59.0,6.98,7.07,4.23
4414,1.23,Very Good,H,VS2,62.4,58.0,6.8,6.85,4.26
4415,1.2,Very Good,G,SI2,61.8,60.0,6.78,6.85,4.21
4416,0.31,Ideal,G,IF,61.0,56.0,4.37,4.38,2.67
4417,0.57,Ideal,E,SI1,62.2,55.0,5.37,5.31,3.32
4418,1.04,Ideal,G,VS2,61.9,57.0,6.5,6.46,4.01
4419,1.04,Ideal,I,SI1,61.3,57.0,6.56,6.53,4.01
4420,0.31,Ideal,E,SI1,61.5,55.0,4.39,4.42,2.71
4421,1.04,Very Good,F,SI2,62.3,58.0,6.44,6.5,4.03
4422,0.7,Ideal,G,VS1,60.6,57.0,5.75,5.7,3.47
4423,0.59,Ideal,G,VVS2,62.2,56.0,5.4,5.37,3.35
4424,0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7
4425,0.53,Good,F,SI1,63.8,56.0,5.13,5.16,3.28
4426,0.59,Ideal,D,VS1,62.0,56.0,5.35,5.39,3.33
4427,1.0,Very Good,E,SI2,63.0,54.0,6.33,6.37,4.0
4428,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91
4429,0.91,Very Good,E,VS1,61.9,59.0,6.17,6.23,3.84
4430,0.51,Premium,G,VVS2,61.7,58.0,5.11,5.14,3.16
4431,0.3,Ideal,F,VS1,61.9,56.0,4.3,4.32,2.67
